序	代码	名称	超大单净额	
203	000777	中核科技	-235万		
204	600704	物产中大	-228万		
205	002104	恒宝股份	-286万		
206	002467	二六三	412万		
207	300157	恒泰艾普	-73.1万		
208	600771	广誉远	-72.8万		
209	000151	中成股份	-73.7万		
210	000731	四川美丰	-220万		
211	601258	庞大集团	-714万		
212	600318	新力金融	-82.7万		
213	002474	榕基软件	-349万		
214	600037	歌华有线	-243万		
215	600063	皖维高新	-125万		
216	000554	泰山石油	-116万		
217	002646	青青稞酒	-1.13万		
218	600692	亚通股份	-142万		
219	600825	新华传媒	-247万		
220	000915	山大华特	-281万		
221	600568	中珠医疗	-266万		
222	600113	浙江东日	-231万		
223	600770	综艺股份	-145万		
224	000592	平潭发展	-732万		
225	002588	史丹利	-372万		
226	600219	南山铝业	309万		
227	002556	辉隆股份	-602万		
228	600839	四川长虹	-830万		
229	300273	和佳股份	-212万		
230	600155	华创阳安	-24.4万		
231	601388	怡球资源	-588万		
232	600449	宁夏建材	-379万		
233	600110	诺德股份	-405万		
234	601218	吉鑫科技	-264万		
235	600064	南京高科	-1019万		
236	603323	吴江银行	-570万		
237	600478	科力远	-887万		
238	300065	海兰信	-224万		
239	002318	久立特材	-118万		
240	300079	数码科技	-1430万		
241	000801	四川九洲	-1140万		
242	601118	海南橡胶	-455万		
243	002005	德豪润达	-291万		
244	600456	宝钛股份	-1691万		
245	002579	中京电子	-498万		
246	600369	西南证券	-299万		
247	002079	苏州固锝	-196万		
248	600855	航天长峰	-804万		
249	600707	彩虹股份	-590万		
250	002428	云南锗业	-877万		
251	600267	海正药业	-641万		
252	600537	亿晶光电	-1084万		
253	600086	东方金钰	-688万		
254	002063	远光软件	-831万		
255	002130	沃尔核材	-700万		
256	600151	航天机电	-1452万		
257	600330	天通股份	-698万		
258	000973	佛塑科技	-1202万		
259	600831	广电网络	-1046万		
260	600135	乐凯胶片	-7325万		
261	300128	锦富技术	-1498万		
